Date,Title,Brief,Link
" May 19, 2022  5:43:55 am",Inflation hit: S&P cuts FY23 growth outlook to 7.3% from 7.8%,"Inflation remaining higher for long is a worry, which requires central banks to raise rates more than what is currently priced in, risking a harder landing, including a larger hit to output and employment, S&P said in its Global Macro Update to Growth Forecasts.",https://indianexpress.com/article/business/economy/sp-cuts-fy23-india-growth-forecast-to-7-3-on-rising-inflation-russia-ukraine-war-7923218/
" May 18, 2022  8:20:42 am","Global headwinds pose challenges, inflation risks more accentuated: RBI","The increase in international commodity prices also imparts a net term of trade shock that is widening the trade and current account deficits,” the RBI said in its ‘State of the Economy’ report.",https://indianexpress.com/article/business/economy/global-headwinds-pose-challenges-inflation-risks-more-accentuated-rbi-7922563/
" May 18, 2022  4:06:32 am",India should be ready to launch 6G services in 10 years: PM Narendra Modi,"Modi also said that whereas the 2G era was marked by “corruption and policy paralysis”, the country has moved “transparently” to 4G and now 5G.",https://indianexpress.com/article/business/economy/india-should-be-ready-to-launch-6g-services-in-10-years-pm-narendra-modi-7921577/
" May 18, 2022  6:30:19 am",Rising prices drive wholesale inflation to record high of 15.1%,India's WPI Inflation April 2022: This is the highest WPI print in the 2011-12 series.,https://indianexpress.com/article/business/economy/india-wpi-wholesale-inflation-april-2022-commerce-ministry-data-7921414/
" May 17, 2022  12:42:58 pm",Rural pinches more in high inflation states,"Retail inflation has persisted above the Reserve Bank of India’s (RBI’s) inflation target for the fourth straight month, with price levels rising to an 8-year high of 8.38 per cent in rural areas in April while urban inflation was at a 18-month high of 7.09 per cent.",https://indianexpress.com/article/business/economy/rural-pinches-more-in-high-inflation-states-7920876/
"May 10, 2022 1:15:02 am","HDFC Bank, BoM, Karur Vysya hike lending rates","The overnight MCLR at HDFC Bank now stands at 7.15 per cent, the one-month rate is at 7.2 per cent, the three-month rate at 7.25 per cent, the six-month MCLR at 7.35 per cent, the one-year MCLR at 7.5 per cent, the two-year MCLR at 7.6 per cent and the three-year MCLR at 7.7 per cent.",https://indianexpress.com/article/business/economy/hdfc-bank-bom-karur-vysya-hike-lending-rates/
" May 10, 2022  6:16:32 am",Platforms to pay news publishers for content: Canada legislation,"Canada’s Online News Act requires digital platforms that have a bargaining imbalance, measured by metrics like a firm’s global revenue, with news businesses to make fair deals, that would then be assessed by a regulator.",https://indianexpress.com/article/business/economy/platforms-to-pay-news-publishers-for-content-canada-legislation-7908962/
" May 10, 2022  6:13:50 am",Auction or allocation of 28 GHz spectrum: Trai says up to DoT,"In its reply to the DoT’s back reference, the regulator said that as was sought by the Department, the Trai has already given its recommendations on auction of spectrum in respective frequency bands including 27.5-28.5 GHz as part of 24.25-28.5 GHz band.",https://indianexpress.com/article/business/economy/auction-or-allocation-of-28-ghz-spectrum-trai-says-up-to-dot-7908957/
" May 10, 2022  6:08:01 am",Re drops to record low below 77 level: Imports to get dearer,"Making imports costlier, the rupee fell 55 paise during the day to cross the 77 level and touched an intra-day low of 77.58 before closing at 77.46 as against the previous record low of 76.98 registered on March 7. “The rupee fell to fresh all-time lows as the dollar rose broadly against its major crosses.",https://indianexpress.com/article/business/economy/re-drops-to-record-low-below-77-level-imports-to-get-dearer-7908952/
" May 9, 2022  6:19:10 am",‘April: Overall biz confidence of India Inc improves’,"The Current Condition Index improved to 66.1 from 62.6 in the last survey, while the Expectations Index improved to 68.4 from 64.5.",https://indianexpress.com/article/business/economy/april-overall-biz-confidence-of-india-inc-improves-7907132/
"May 8, 2022 1:22:49 am","Banks hike rates: EMIs set  to get costlier, lenders’ spread likely to get thinner","The rise in RLLR will lead to an increase in equated monthly instalments (EMIs) on home, vehicle and other personal and corporate loans. ",https://indianexpress.com/article/business/economy/banks-hike-rates-emis-set-to-get-costlier-lenders-spread-likely-to-get-thinner-7905993/
" May 31, 2022  2:58:39 pm",Tax reassessment: I-T has 30 days to send notices,"According to the top court’s judgment, the assessing officer will, within 30 days from May 4, provide the respective assesses the information and all relevant material which was relied upon to send the income tax recovery notice to them.",https://indianexpress.com/article/business/economy/tax-reassessment-i-t-has-30-days-to-send-notices-7903357/
" May 6, 2022  5:11:29 am",‘Services PMI grows to 5-month high in April’,"The seasonally adjusted S&P Global India Services PMI Business Activity Index jumped to 57.9 in April, from 53.6 in March, highlighting a sharp rate of expansion that was the fastest since last November amid mounting price pressures.",https://indianexpress.com/article/business/economy/services-sector-activities-touch-5-month-high-in-april-amid-mounting-price-pressures-7902548/
"May 4, 2022 11:47:24 pm",US Federal Reserve raises interest rates,The US central bank’s policy-making Federal Open Market Committee on Wednesday voted unanimously to increase the benchmark rate by a half percentage point.,https://indianexpress.com/article/business/economy/us-federal-reserve-raises-interest-rates-7901854/
" May 4, 2022  5:30:50 pm","RBI hikes repo rate by 40 bps: Here’s how market analysts, economists, experts reacted","The sudden hike in RBI's key interest rates led to a sharp reaction in the domestic stock market where the S&P BSE Sensex crashed 1,306.96 points (2.29 per cent) to end at 55,669.03 while the Nifty 50 fell to 391.50 points (2.29 per cent) to settle at 16,677.60.",https://indianexpress.com/article/business/economy/rbi-interest-rate-hiked-40-bps-here-is-how-market-analysts-economists-experts-reacted-7901244/
" May 5, 2022  9:46:06 am","Inflation finally hits RBI, pushes it to raise key policy rate, sudden and sharp","By hiking the Repo rate and CRR, the RBI is aiming to keep inflation – which is already close to 7 per cent — at its desired level and control and monitor money flow into the banking system.",https://indianexpress.com/article/business/economy/rbi-governor-shaktikanta-das-live-updates-inflation-7900659/
" May 3, 2022  5:19:25 am","Fino Payment Bank promoters vote out chairman, director","The promoter Fino Paytech, which owns around 75 per cent stake in the bank, has investors like Life Insurance Corporation of India, ICICI Bank, ICICI Lombard, Corporation Bank, Union Bank and Indian Bank.",https://indianexpress.com/article/business/economy/fino-payment-bank-promoters-vote-out-chairman-director-7898504/
" May 3, 2022  5:15:37 am","Defying rising costs, factory PMI kicks off FY23 on robust note","A PMI number greater than 50 shows expansion in business activity, and less than 50 indicates contraction. PMI is a leading indicator, giving analysts a good sense of the direction of a country’s economy. The PMI in manufacturing is obtained based on the results of a survey sent to a set of manufacturing companies.",https://indianexpress.com/article/business/economy/india-manufacturing-sector-sees-faster-growth-amid-high-inflation-in-april-pmi-7897386/
" May 2, 2022  5:38:37 am",Jharkhand commercial tax mop-up jumps 26% in FY22,The previous biggest jump in fiscal comparisons happened over FY 18 to FY19 -- an increase of 18.4 percent.,https://indianexpress.com/article/business/economy/jharkhand-commercial-tax-mop-up-jumps-26-in-fy22-7896783/
" May 2, 2022  8:40:04 am","Rs 1.68 lakh crore in April, GST collection soars to all-time high","This marks a 20 per cent increase from the April 2021 level on the back of improved compliance, enforcement action against tax evaders and pick-up in economic activity.",https://indianexpress.com/article/business/economy/rs-1-68-lakh-crore-in-april-gst-collection-soars-to-all-time-high-7896678/
"April 26, 2022 12:54:30 am","RIL-FRL deal off, IBC fears: Shares of Future group cos fall up to 20%","Future Supply Chain plummeted by 19.96 per cent to Rs 37.30, Future Market Network plunged by 14.30 per cent to Rs 7.07 and Future Lifestyle Fashions by 19.89 per cent to Rs 29.40.",https://indianexpress.com/article/business/economy/ril-frl-deal-off-ibc-fears-shares-of-future-group-cos-fall-up-to-20-7887316/
" April 26, 2022  11:38:13 am",CII chief TV Narendran: ‘Industry can’t have unfair expectations on interest rate cycle’,Many MSMEs have also done well but there are many who have struggled. So you need to have a sector-specific approach rather than a MSME approach in general because not all of them are doing badly. ,https://indianexpress.com/article/business/economy/industry-cant-have-unfair-expectations-on-interest-rate-cycle-7887301/
"April 25, 2022 5:58:28 am",Early birds results: India Inc feels margin pressure,Revenues for a set of 73 early birds grew just a shade over 12 per cent year-on-year for the three months to March.,https://indianexpress.com/article/business/economy/early-birds-results-india-inc-feels-margin-pressure-7885625/
"April 25, 2022 5:30:28 am",FRL shareholders to be hit if banks opt for IBC resolution,"This is because once a company is taken to the IBC route, equity shareholders has the last claim over any assets of a company after dues to the government, financial institutions, banks and other creditors and bondholders are paid off. ",https://indianexpress.com/article/business/economy/frl-shareholders-to-be-hit-if-banks-opt-for-ibc-resolution-7885620/
" April 24, 2022  6:59:10 am","Capex push, rising inflation fuel credit offtake growth to over two-year high","In absolute numbers, credit offtake more than doubled by `12.03 lakh crore in the 12-month period ended April 8 as against Rs 5.50 lakh crore a year ago, RBI data showed",https://indianexpress.com/article/business/economy/capex-push-rising-inflation-fuel-credit-offtake-growth-to-over-two-year-high-7884275/
"April 23, 2022 6:10:35 am",MPC Minutes: ‘Inflationary pressures necessitate policy action’,"Reserve Bank Governor Shaktikanta Das has cautioned that the estimates now point to inflation remaining above the upper tolerance band in the near-term even as growth projections have undergone downward revisions, according to minutes of the RBI Monetary Policy Committee meeting held on April 8. “These are indicative of the sheer magnitude of the adverse […]",https://indianexpress.com/article/business/economy/mpc-minutes-inflationary-pressures-necessitate-policy-action-7883024/
" April 24, 2022  12:25:44 am",Finance minister Nirmala Sitharaman to World Bank: Rescue countries facing debt stress,"Separately at the FATF ministerial meeting, Sitharaman reaffirmed India's political commitment to fight money laundering, terrorist financing and proliferation financing. 
",https://indianexpress.com/article/business/economy/finance-minister-nirmala-sitharamans-investment-pitch-to-us-inc-financial-inclusion-upskilling-7883003/
"April 23, 2022 5:23:35 am",‘Telcos’ fear misplaced; private 5G networks to raise efficiency’,"Private 5G networks allow enterprises and institutions to build their own exclusive networks that can be used exclusively for devices and machines at factory premises, an educational institute etc.
",https://indianexpress.com/article/business/economy/telcos-fear-misplaced-pvt-5g-networks-to-raise-efficiency-7882995/
"April 23, 2022 5:15:10 am",RBI open to let NBFCs in credit card business,"The pre-requisite for this is a minimum net owned fund of Rs 100 crore and subject to such terms and conditions as the Reserve Bank may specify in this regard from time to time, the RBI master direction said.  ",https://indianexpress.com/article/business/economy/rbi-open-to-let-nbfcs-in-credit-card-business-7882993/
"April 23, 2022 5:10:57 am",‘LIC valuation down by half ahead of IPO’,"The valuation of the insurance behemoth is “veering towards 1.1 times its embedded value (of Rs 5.4 trillion),” a senior official said.",https://indianexpress.com/article/business/economy/lic-valuation-down-by-half-ahead-of-ipo-7882991/
"April 22, 2022 6:02:02 am","FM flags headwinds: Inflation, supply strains","At the plenary meeting of the IMF’s International Monetary and Financial Committee, she said the global economy may see some growth deceleration.",https://indianexpress.com/article/business/economy/fm-flags-headwinds-inflation-supply-strains-7881186/
"April 21, 2022 6:09:01 am",Post-pandemic recovery: FM pitches for coordinated action,Finance Minister Nirmala Sitharaman highlights need for financially viable alternative energy sources,https://indianexpress.com/article/business/economy/post-pandemic-recovery-fm-pitches-for-coordinated-action-7879446/
"April 21, 2022 4:50:06 am","‘India builds up forex reserves as China, others eye foreign assets’","Global reserves increased steadily from US$ 2 trillion in 1999 to US$ 12 trillion by 2014, but stagnated thereafter. “As a share of global GDP, after rising from 5.5 per cent in 2000 to 15.4 per cent in 2014, they are now below 14 per cent,” Credit Suisse said.",https://indianexpress.com/article/business/economy/india-builds-up-forex-reserves-as-china-others-eye-foreign-assets-7879402/
"April 19, 2022 11:37:39 am",FM Sithraman meets IMF chief; discusses impact of geopolitical situation on global growth,"During the meeting held on the sidelines of the ongoing annual spring meetings of the International Monetary Fund (IMF) and the World Bank, the IMF chief highlighted India's well-targeted policy mix that has helped the country's economy remain resilient even with a limited fiscal space.",https://indianexpress.com/article/business/economy/fm-nirmala-sithraman-meets-imf-chief-discusses-impact-of-geopolitical-situation-on-global-growth-7876063/
" April 30, 2022  11:07:26 pm","Growing concern as wholesale inflation up to 14.55%, pressure on retail prices",Trend reversal with CPI inflation converging towards WPI inflation worries policymakers,https://indianexpress.com/article/business/economy/growing-concern-as-wholesale-inflation-up-to-14-55-pressure-on-retail-prices/
" April 12, 2022  6:23:04 pm","Retail inflation spikes to 6.95% in Mar; IIP grows 1.7% in Feb, shows govt data","CPI Inflation Rate March, IIP Growth Rate February 2022: The retail inflation, measured by the Consumer Price Index (CPI), rose to 6.95 per cent in March. Separately, the factory output, measured in terms of Index of Industrial Production (IIP), grew by 1.7 per cent in February.",https://indianexpress.com/article/business/economy/india-cpi-retail-inflation-march-iip-factory-output-february-2022-nso-mospi-govt-data-7866217/
" April 12, 2022  8:07:53 am","Retail, MSMEs push credit growth rate to near double-digits","In absolute numbers, credit offtake almost doubled by Rs 10.43 lakh crore as of March 2022 as against Rs 5.78 lakh crore last year. Total credit outstanding was Rs 118.90 lakh crore as on March 25, 2022, the RBI data shows.",https://indianexpress.com/article/business/economy/retail-msmes-push-credit-growth-rate-to-near-double-digits-7865069/
" April 12, 2022  7:18:45 am",Nashik firm’s 20 electric scooters catch fire: ‘Biggest such incident’ yet,"The Road Transport Ministry, it is learnt, has taken cognisance of the incident and is in the process of summoning representatives of the company to present a report on its findings about the incident.",https://indianexpress.com/article/business/economy/nashik-firms-20-electric-scooters-catch-fire-biggest-such-incident-yet-7865050/
"April 12, 2022 3:15:25 am","Cut 5G spectrum base prices by 35-40%, suggests Trai","Trai has also suggested easing some of the minimum roll out (MRO) obligations for deployment of 5G by the new entrants in the telecom sector. For example, in the 700 MHz, 800 MHz, 900 MHz, and 1800 MHz bands, Trai has suggested that the time period for MRO should be extended to 2 years from 1 year currently.",https://indianexpress.com/article/business/economy/cut-5g-spectrum-base-prices-by-35-40-suggests-trai-7865038/
" April 12, 2022  7:19:14 am",Supervisory action against Paytm Payments Bank ‘not yet complete’: RBI,"The banking sector regulator, in an order dated March 11, had directed the Vijay Shekhar Sharma-led payments bank to stop adding new customers with immediate effect while also asking it to appoint an IT audit firm to conduct a comprehensive audit of the IT system of the payments bank.",https://indianexpress.com/article/business/economy/supervisory-action-against-paytm-payments-bank-not-yet-complete-rbi-7865040/
"April 12, 2022 3:00:32 am",Demand soaring: ‘Tolling’ on the table as imported coal prices heat up,"On April 7, the electricity shortage rose to 80.1 million units, with the country being short of 6,124 MW of generation capacity during peak demand.",https://indianexpress.com/article/business/economy/demand-soaring-tolling-on-the-table-as-imported-coal-prices-heat-up-7865034/
"April 12, 2022 1:42:50 am",Yields at 3-year high,"On Friday, the yield had risen by 21 bps to 7.12 per cent after the RBI announced its plan to focus on inflation and suck out liquidity from the market.",https://indianexpress.com/article/business/economy/yields-at-3-year-high/
"April 10, 2022 11:56:02 am","BharatPe puts behind Grover episode, posts record growth","BharatPe CEO Suhail Sameer said that while the board will take a call on what to do with the money allegedly defrauded by Ashneer Grover, his priority is the firm’s employees so that they stay focused and teams remain stable.",https://indianexpress.com/article/business/economy/bharatpe-puts-behind-grover-episode-posts-record-growth-7862340/
" April 10, 2022  6:16:30 am",RBI: Households expect inflation to cross 10%; consumer confidence moves up,"'Median expectations for both three months and one year ahead rose by 10 basis points each to 10.7% and 10.8%, respectively, as compared to January 2022 round. It was based on responses from 6,033 urban households'",https://indianexpress.com/article/business/economy/rbi-households-expect-inflation-to-cross-10-pc-7861940/
" April 10, 2022  7:27:03 am","Red flags over PLI scheme, NITI plans to monitor performance","Taking the lead in creating a centralised database to monitor progress in the PLI schemes across sectors, the NITI Aayog plans to rope in an external agency – state-owned IFCI Ltd or Sidbi – to design and prepare the database.",https://indianexpress.com/article/business/economy/red-flags-over-pli-scheme-niti-plans-to-monitor-performance-7861991/
